Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,01234-1234567,1/6/2025,,Payment,WWW PAYMENT - 8902 HYDRO,-82,
Chequing,01234-1234567,1/6/2025,,C-IDP PURCHASE-2835,MD. CSA ST-JACQ ,-61.25,
Chequing,01234-1234567,1/6/2025,,WWW TRF DDA - 0863,,-2044.11,
Chequing,01234-1234567,1/10/2025,,PAYROLL DEPOSIT,Work Pay,2941.22,
Chequing,01234-1234567,1/10/2025,,Payment,WWW PAYMENT - 4256 AMEX REGULAR ,-1940,
Chequing,01234-1234567,1/10/2025,,WWW TRF DDA - 8907,,-759.99,
Chequing,01234-1234567,1/13/2025,,INTERNET ACC. PYMT,EBOX INC ,-51.74,
Chequing,01234-1234567,1/16/2025,,PAYROLL DEPOSIT,Work Pay 2,1868.39,
Chequing,01234-1234567,1/20/2025,,WWW TRF DDA - 6147,,-50,
Chequing,01234-1234567,1/24/2025,,PAYROLL DEPOSIT,Work Pay,2941.22,
Chequing,01234-1234567,1/24/2025,,WWW TRF DDA - 0278,,-759.99,
Chequing,01234-1234567,1/27/2025,,Payment,WWW PAYMENT - 4485 AMEX REGULAR ,-1200,
Chequing,01234-1234567,1/28/2025,,C-IDP PURCHASE-7820,TABAGIE METRO V ,-3.75,
Chequing,01234-1234567,1/30/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,1/30/2025,,WWW TRF DDA - 7206,,-3736.01,
Chequing,01234-1234567,1/31/2025,,C-IDP PURCHASE-9272,TABAGIE METRO V ,-3.35,
Chequing,01234-1234567,2/3/2025,,Email Trfs,E-TRANSFER SENT ,-1099,
Chequing,01234-1234567,2/5/2025,,MONTHLY FEE,,-11.95,
Chequing,01234-1234567,2/5/2025,,MONTHLY FEE REBATE,,6,
Chequing,01234-1234567,2/7/2025,,PAYROLL DEPOSIT,Work Pay,2941.23,
Chequing,01234-1234567,2/7/2025,,Payment,WWW PAYMENT - 7599 AMEX CARDS ,-2000,
Chequing,01234-1234567,2/7/2025,,WWW TRF DDA - 7085,,-759.99,
Chequing,01234-1234567,2/12/2025,,INTERNET ACC. PYMT,EBOX INC ,-51.74,
Chequing,01234-1234567,2/13/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,2/14/2025,,WWW TRF DDA - 3715,,-1867.62,
Chequing,01234-1234567,2/17/2025,,Transfer,WWW TRANSFER - 4966 ,-100,
